logFC	logCPM	F	PValue	FDR
comp4957_c0_seq1	-2.63613642373969	6.28342492082442	65.8320436876332	2.91811717360328e-09	9.97704261654962e-06
comp3889_c0_seq1	-3.42890711701685	6.02865771564669	60.8402636511432	1.21742550492876e-08	2.08118890067572e-05
comp527_c0_seq1	1.61656968702658	9.12589172889584	41.0477865166935	3.11129912533967e-07	0.000270320471124158
comp4043_c0_seq1	3.70444190144961	7.78423759454924	45.0743242536799	3.66912599822815e-07	0.000270320471124158
comp8945_c0_seq1	-2.14003213427253	9.31437726719334	42.1069597317188	3.95320958063993e-07	0.000270320471124158
comp780_c0_seq1	1.17043274187024	6.79316109672977	33.3267496081885	1.97452457860125e-06	0.00105878222052777
comp4940_c0_seq1	1.45759311765896	9.33557726135063	32.9598972488283	2.16773195194338e-06	0.00105878222052777
comp16957_c0_seq1	1.38876999349459	10.2289829918981	31.4293347834116	3.2193760289834e-06	0.00137588083038678
comp11869_c0_seq1	1.40558136634679	6.2859922525012	30.7226796963203	3.87740675756052e-06	0.00140728035730995
comp25359_c0_seq1	-1.66322043360472	5.12878309262588	30.4974797117678	4.11605837177524e-06	0.00140728035730995
comp3991_c0_seq1	1.33450254268755	8.90089894914754	29.9689574320682	4.73965743301163e-06	0.00147083143893
comp6880_c0_seq1	0.877833674265613	8.87811473806595	29.6511997778054	5.16232151715705e-06	0.00147083143893
comp7574_c0_seq1	-3.55981027349613	4.67619228401982	30.0629658231859	6.58638104870633e-06	0.00171119334250335
comp23616_c0_seq1	1.31285980806595	5.84033270714561	28.528652206535	7.00693383885548e-06	0.00171119334250335
comp12901_c0_seq1	1.06942196555439	6.16560336037903	27.9928314365412	8.12411728001767e-06	0.00185175713202536
comp21139_c0_seq1	-1.60146575572363	5.04116860707971	27.3863242851957	9.62129844120615e-06	0.00196142627084245
comp607_c0_seq1	1.39129623502785	6.39370413375264	27.3379894108833	9.75263135546115e-06	0.00196142627084245
comp213_c0_seq1	1.22303235592823	6.50596583548299	25.9787639749033	1.43486381227615e-05	0.00272544409676231
comp14309_c0_seq1	2.72712323234039	5.65435070118439	26.6812346903292	1.54046134583668e-05	0.00277201965337664
comp963_c0_seq1	-0.686129430694076	8.37643243792438	25.4604082171555	1.66671127595506e-05	0.00277304505516425
comp12560_c0_seq1	-1.32923827407773	6.89376777783841	25.2397274253529	1.77722934441724e-05	0.00277304505516425
comp28390_c0_seq1	-1.25719057308733	6.84587187169179	25.2260095382124	1.78435189276436e-05	0.00277304505516425
comp10448_c0_seq1	2.25839067280943	5.18915205977325	25.1727332942006	1.89570369500257e-05	0.00281800475357121
comp2022_c0_seq1	-1.07896983934313	7.86929275111632	24.589718064484	2.15051095391858e-05	0.00306358206310318
comp5139_c0_seq1	-1.2417369163677	7.94111461368464	23.8375783586112	2.80509294297949e-05	0.00383624510881875
comp4358_c0_seq1	1.39265570542955	9.16701995098356	23.4098908535511	3.24748318384729e-05	0.00427044038675918
comp10848_c0_seq1	0.914238012330682	6.10326310469407	22.9894418455376	3.47366769175795e-05	0.00431584130326981
comp9916_c0_seq1	2.4629329788449	6.63324461510623	23.9983882253258	3.53447079530724e-05	0.00431584130326981
comp30163_c0_seq1	1.40940453205748	5.42720243955861	22.7242233832843	3.76641243774456e-05	0.00444047038780988
comp10931_c0_seq1	2.47004269948673	5.40303374476651	22.8956782662331	4.10916808809227e-05	0.00457959530098107
comp15718_c0_seq1	-1.21353387496954	5.01819905092507	22.4063207817381	4.1523092813809e-05	0.00457959530098107
comp16024_c0_seq1	1.41745958076065	7.88090103811212	22.4644357139546	4.34080536221672e-05	0.00463787922919342
comp159_c0_seq1	-1.18752340956487	9.77904673261442	21.6704146116977	5.29769287615548e-05	0.00530116224721887
comp16355_c0_seq1	1.07410834345741	7.39599996310956	21.5876914681093	5.35321140880283e-05	0.00530116224721887
comp27_c0_seq1	-0.771839154824047	11.3999225660912	21.5440999233334	5.42675281230361e-05	0.00530116224721887
comp2474_c0_seq1	1.16472141837647	6.01654383164889	21.1084305968623	6.22373868131824e-05	0.00591082293095196
comp4640_c0_seq1	-1.02941153728568	5.90511208952618	20.8307008399251	6.79618537164843e-05	0.00628004264477459
comp393_c0_seq1	-0.893065809790692	9.00160561546821	20.6360163919536	7.23074051395775e-05	0.00636025908240031
comp60895_c0_seq1	-1.62816063299585	5.22061618833607	20.6332911044552	7.25504838296613e-05	0.00636025908240031
comp61691_c0_seq1	-1.54266952558221	5.33728250726302	20.5421751210857	7.45068440481536e-05	0.00636847249501592
comp9461_c0_seq1	1.65178281164366	5.16797945720278	20.4477241970005	7.67926485195697e-05	0.00640375768996119
comp1678_c0_seq1	0.758688168518421	9.06099447838683	19.9754364374409	8.93984554882607e-05	0.00712361699268354
comp24027_c0_seq1	0.961402537763318	6.96929312448592	19.9378832032232	9.04912880795687e-05	0.00712361699268354
comp13696_c0_seq1	-1.88184970601943	4.33586196382283	19.8977252284993	9.16756793442748e-05	0.00712361699268354
comp1751_c0_seq1	1.0687396502233	6.70404030547253	19.5619527821251	0.000102249473154775	0.00768389009159153
comp7067_c0_seq1	-1.76450578153743	5.45199080097147	19.7491313303182	0.000103380796786549	0.00768389009159153
comp10010_c0_seq1	-1.46029991141966	8.73424208576359	19.9940406597949	0.000108388077542824	0.00775252746113795
comp4053_c0_seq1	-0.764654167592699	7.88794214156033	19.3709065225083	0.000108839227298807	0.00775252746113795
comp50144_c0_seq1	-2.29890457062765	4.12109728916787	19.2739747796613	0.000113049557780517	0.00776952535027854
comp2740_c0_seq1	-1.01646799709987	9.03096801862221	19.2397882980962	0.000113622774938265	0.00776952535027854
comp493_c0_seq1	-0.605060311398578	7.79096271046274	19.1341825850347	0.00011763832033454	0.00788638072987827
comp78_c0_seq1	2.49588793259266	5.77895168210468	19.4114851639793	0.000136107551729687	0.0088502715356831
comp1998_c0_seq1	1.09650036925392	6.0007931965856	18.669459148224	0.00013719344585879	0.0088502715356831
comp9828_c0_seq1	-1.12679284842651	4.92188720189231	18.3932844226868	0.000150432679998549	0.00928716288477767
comp1252_c0_seq1	1.22603173711911	5.27233811407908	18.3861214965107	0.000150793661248495	0.00928716288477767
comp3078_c0_seq1	-1.06424517983483	6.58288879117901	18.3600575842543	0.000152114981441225	0.00928716288477767
comp2128_c0_seq1	3.32592937451909	7.03073618399721	19.2556099021268	0.000166541659860957	0.00982185564411526
comp19189_c0_seq1	-2.25845399828629	6.69986303174476	19.2540838263489	0.000166618200455889	0.00982185564411526
comp469_c0_seq1	1.30613294954015	12.1787176109936	18.0867701775538	0.000171624602395032	0.00994550026421379
comp250_c0_seq1	1.92145391853926	5.17061300575261	18.019696618991	0.000177986756261404	0.0101422786609624
comp12719_c0_seq1	-1.08642687107078	6.65985537647759	17.8157723496218	0.000182723241042017	0.0102221952229576
comp4371_c0_seq1	-0.742274976706214	8.14841966145629	17.773372441367	0.000185368851659366	0.0102221952229576
comp9472_c0_seq1	-1.11979064396692	5.60174428974914	17.6087157905167	0.000196036499144201	0.0106388696916512
comp17217_c0_seq1	-0.725482712223953	7.4742574005574	17.4476626480119	0.000207105761135128	0.0110639780831407
comp970_c0_seq1	-1.14898197338352	4.58843857800007	17.1973161293628	0.000225655463652245	0.0118694773881081
comp759_c0_seq1	1.36241214824115	4.70444772301586	17.1151839895487	0.00023212070282673	0.0119525300809983
comp1990_c0_seq1	-1.03920053829627	6.01515167598942	17.088961427756	0.000234226240253549	0.0119525300809983
comp2488_c0_seq1	-2.05935524664721	4.38917943191199	17.0851449938685	0.00024087045714621	0.0121108248968073
comp1741_c0_seq1	1.10548921343816	5.56654461049856	16.9389765312572	0.000246667171010215	0.012222537067883
comp431_c0_seq1	1.52656263392663	7.25887861363912	17.1784691908463	0.000253175317550968	0.0123658058672394
comp7391_c0_seq1	-1.640617975612	5.0929813810717	16.7676402637996	0.000268629115512152	0.012878575875519
comp15394_c0_seq1	-1.15302549155032	5.35773645001089	16.665438361391	0.000271207213523653	0.012878575875519
comp6591_c0_seq1	0.687679207262963	7.54004061577485	16.5390354881128	0.000283415093757274	0.0132739206240564
comp9612_c0_seq1	-1.15954763075727	5.1434311473886	16.4456427112341	0.000292810756602329	0.0135286483354509
comp145_c0_seq1	-1.14172603084508	9.6136478690548	16.4708872651297	0.000302976481871232	0.0138116878869032
comp2543_c0_seq1	-0.880629078797926	7.30985258259153	16.2342156408836	0.000315330550787894	0.0141857256992606
comp2518_c0_seq1	1.90413754571236	4.48022626473595	16.1431766774783	0.000325590003057635	0.0144570418240786
comp4990_c0_seq1	0.840477599601673	7.63392188374551	15.9917461159956	0.000343451905925965	0.0150546418764215
comp8961_c0_seq1	0.778653751371533	6.90291137335536	15.9483170752501	0.000348765309915697	0.0150940328430604
comp10208_c0_seq1	-0.997564798621058	5.54845885523543	15.6801377993059	0.000383580792045792	0.016289378805466
comp1514_c0_seq1	-0.922226185650352	5.43882180529548	15.6494319787905	0.000387797569943557	0.016289378805466
comp3291_c0_seq1	0.83387302301327	7.77494169586583	15.6286592070269	0.00039067828664762	0.016289378805466
comp71_c0_seq1	1.10926331558108	8.69703213090785	15.6806586123108	0.00039731510558735	0.0163132892679775
comp42424_c0_seq1	2.55719179161549	5.05867226875389	15.9676373931115	0.000403254845487681	0.0163132892679775
comp17885_c0_seq1	1.01683949425561	5.40130490760987	15.5149654262154	0.000406854807482317	0.0163132892679775
comp14284_c0_seq1	1.41631448335945	4.90200756502157	15.4883706116906	0.000410740953420616	0.0163132892679775
comp13343_c0_seq1	1.29663675103941	5.11744201037995	15.4587994771537	0.000415108559904664	0.0163132892679775
comp2042_c0_seq1	0.610405204390614	7.28567414044131	15.2901150459608	0.000440989368557403	0.01713343921702
comp29457_c0_seq1	0.991058913128633	5.95284143704501	15.1114865834474	0.000470283332856252	0.0180662776970284
comp15882_c0_seq1	1.06960703638122	5.11203763210977	15.0489485287583	0.000481024288597025	0.0181093810885623
comp11515_c0_seq1	1.5759114244891	5.28238549307557	15.0547758920091	0.000482735624259953	0.0181093810885623
comp473_c0_seq1	1.29462109938182	5.3635328594435	15.0131208275378	0.000487295425606238	0.0181093810885623
comp4979_c0_seq1	-1.03621556113008	6.65746666740977	14.9596115433102	0.000496824486390741	0.0182649776233327
comp181_c0_seq1	1.27405806143186	12.132159391869	15.0322579041816	0.000502507009432259	0.0182773560132861
comp11460_c0_seq1	-1.3494621953094	6.04224185161436	14.9031539587911	0.000526309055560358	0.0189121155585559
comp4351_c0_seq1	1.17907530192053	4.76526062982783	14.7684902439055	0.000532517034535858	0.0189121155585559
comp22244_c0_seq1	1.27939736113125	4.5513985554641	14.7477434854706	0.000536553146879181	0.0189121155585559
comp113_c0_seq1	0.996752610135274	5.67035527798763	14.7017627337103	0.000545615173379994	0.0190352885488388
comp1730_c0_seq1	0.916856047391141	5.81328102926584	14.6063440448896	0.000564946071138639	0.0195106122951819
