logFC	logCPM	F	PValue	FDR
comp16397_c0_seq1	-9.73505917848085	9.51612581718505	461.216662421161	8.66666226684917e-18	1.33376114655119e-14
comp19804_c0_seq1	-9.11063819807815	8.43921534008846	457.619625142485	9.52346409533156e-18	1.33376114655119e-14
comp23572_c0_seq1	-9.25075261506842	8.68784898412462	441.54129098513	1.46427186585754e-17	1.36714183208899e-14
comp52041_c0_seq1	-9.41124229786148	10.4526215937907	422.687434278132	2.47225359216621e-17	1.73119557791439e-14
comp53714_c0_seq1	-8.48151112238042	12.5516061346936	404.270939365923	4.21450307846408e-17	2.36096462455558e-14
comp33224_c0_seq1	-9.74791953679235	11.5510026360798	391.920080754982	6.10587755936193e-17	2.76740035807023e-14
comp111678_c0_seq1	-8.28815792513646	10.5094484654726	387.849675117788	6.91603088414552e-17	2.76740035807023e-14
comp31665_c0_seq1	-9.91391853746718	9.40500672652769	368.055349730533	1.29075850979802e-16	4.4316849631102e-14
comp53080_c0_seq1	-8.45587944290647	10.2446273104758	362.057576126784	1.56913286125367e-16	4.4316849631102e-14
comp10670_c0_seq1	-10.0774374015299	8.84669628070079	361.805312914671	1.58217956555166e-16	4.4316849631102e-14
comp46253_c0_seq1	-9.0714990926768	9.21218938087444	353.666755319071	2.07276799589064e-16	5.27802105135426e-14
comp65053_c0_seq1	-8.24710154383222	10.4256464849937	345.389628182529	2.74449351070812e-16	6.40610526957788e-14
comp52921_c0_seq1	-8.11182807749944	9.567191193714	332.778414871985	4.2614674623844e-16	8.58035235822606e-14
comp13011_c0_seq1	-9.51190083175185	10.0808169932704	332.270077954287	4.33913132750898e-16	8.58035235822606e-14
comp53351_c0_seq1	-8.24682983236208	10.0773524203507	330.662382942149	4.59497627180974e-16	8.58035235822606e-14
comp43458_c0_seq1	-8.35989299754687	8.66461674748171	323.394033824865	5.97299390913776e-16	1.04564724621843e-13
comp46439_c0_seq1	-8.28398157248872	8.16053376549524	315.249301209318	8.06676922521954e-16	1.27221467680723e-13
comp99730_c0_seq1	-7.68895787707061	9.1838797008542	314.836914709358	8.19201111893148e-16	1.27221467680723e-13
comp24242_c0_seq1	-9.30790697580209	9.81874620303296	313.447051711073	8.62980323432254e-16	1.27221467680723e-13
