allRes.GO.ID	allRes.weight01_pval
GO:0019344	1.5e-10
GO:0010027	1.2e-08
GO:0015979	5.6e-08
GO:0009768	1.2e-07
GO:0010207	5.6e-07
GO:0018298	1.6e-06
GO:0019684	2.4e-06
GO:0070838	5.6e-06
GO:0045454	9.8e-06
GO:0019288	1.6e-05
GO:0016117	1.7e-05
GO:0006012	2.9e-05
GO:0006364	3.9e-05
GO:0015995	3.9e-05
GO:0006098	4.3e-05
GO:0035304	9.2e-05
GO:0006457	9.6e-05
GO:0030003	0.00017
GO:0032880	0.00023
GO:0071435	0.00030
GO:0045490	0.00033
GO:0009269	0.00041
GO:0000103	0.00043
GO:0010411	0.00043
GO:0009773	0.00062
GO:0009416	0.00068
GO:0006833	0.00073
GO:0007030	0.00076
GO:0070588	0.00086
GO:0019685	0.00089
GO:0008361	0.00100
GO:0048481	0.00110
GO:0009765	0.00171
GO:0006857	0.00174
GO:0005985	0.00177
GO:0010363	0.00182
GO:0010103	0.00225
GO:0019761	0.00225
GO:0006662	0.00249
GO:0045893	0.00259
GO:0051603	0.00262
GO:0034599	0.00266
GO:0009963	0.00297
GO:0009657	0.00355
GO:0006687	0.00389
GO:0005982	0.00393
GO:0016132	0.00419
GO:0000054	0.00433
GO:0006612	0.00486
GO:0009902	0.00546
GO:0016126	0.00549
GO:0030154	0.00593
GO:0010105	0.00599
GO:0006782	0.00599
GO:0015996	0.00602
GO:0009873	0.00625
GO:0006027	0.00655
GO:0009637	0.00706
GO:0061615	0.00790
GO:0098869	0.00883
GO:0006636	0.00965
GO:0010091	0.01004
GO:0009965	0.01021
GO:0006094	0.01114
GO:0009658	0.01150
GO:0055114	0.01160
GO:0016226	0.01163
GO:0019253	0.01241
GO:0005992	0.01244
GO:0006412	0.01403
GO:0006081	0.01411
GO:0046487	0.01428
GO:0006749	0.01428
GO:0006529	0.01493
GO:0009690	0.01495
GO:0000463	0.01499
GO:0016925	0.01499
GO:0048588	0.01733
GO:0060267	0.01741
GO:0090143	0.01741
GO:0080136	0.01741
GO:0000169	0.01741
GO:0007263	0.01741
GO:2000037	0.01741
GO:0051245	0.01741
GO:0034214	0.01741
GO:0009780	0.01741
GO:0042493	0.01743
GO:0006273	0.01779
GO:0042254	0.01869
GO:0071555	0.01954
GO:0009651	0.01968
GO:0015994	0.02022
GO:0009926	0.02171
GO:0001731	0.02397
GO:0051103	0.02397
GO:0010206	0.02734
GO:0006002	0.02734
GO:0010015	0.02980
GO:0042793	0.03085
GO:0016168	7.7e-10
GO:0031409	2.2e-06
GO:0030570	8.8e-06
GO:0005515	2.3e-05
GO:0016762	0.00012
GO:0015035	0.00029
GO:0042803	0.00056
GO:0004565	0.00061
GO:0003825	0.00068
GO:0051740	0.00081
GO:0016630	0.00081
GO:0004066	0.00114
GO:0016874	0.00135
GO:0016671	0.00152
GO:0003950	0.00186
GO:0003735	0.00252
GO:0008177	0.00265
GO:0005509	0.00285
GO:0051082	0.00409
GO:0004364	0.00425
GO:0004805	0.00482
GO:0004497	0.00632
GO:0046556	0.00719
GO:0010277	0.00719
GO:0003872	0.01130
GO:0016705	0.01267
GO:0030246	0.01514
GO:0001055	0.01621
GO:0032441	0.01658
GO:0033947	0.01658
GO:0080124	0.01658
GO:0052624	0.01658
GO:0048529	0.01658
GO:0004558	0.01658
GO:0005222	0.01658
GO:0043864	0.01658
GO:0050178	0.01658
GO:0038199	0.01658
GO:0045435	0.01658
GO:0004038	0.01658
GO:0052893	0.01658
GO:0052896	0.01658
GO:0052897	0.01658
GO:0032450	0.01658
GO:0052898	0.01658
GO:0052900	0.01658
GO:0005524	0.01825
GO:0016984	0.02187
GO:0015254	0.02822
GO:0046872	0.02980
GO:0015250	0.03164
GO:0045174	0.03288
GO:0080123	0.03288
GO:0050203	0.03288
GO:0019148	0.03288
GO:0008660	0.03288
GO:0080048	0.03288
GO:0047995	0.03288
GO:0004818	0.03288
GO:0009916	0.03288
GO:0003954	0.03526
GO:0003910	0.04279
GO:0050897	0.04289
