logFC	logCPM	F	PValue	FDR
comp9838_c0_seq1	6.41164739141153	1.07669292487298	150.211187926026	9.36735721585622e-16	1.19405702430519e-11
comp397_c0_seq1	6.24349111810136	-1.07417713035067	117.999711261234	5.14723984045376e-14	3.2805933123132e-10
comp18131_c0_seq1	5.0080674402188	-1.48520585547284	82.1905072533841	1.30222386584209e-11	5.53314920596302e-08
comp8152_c0_seq1	-2.01308442445145	-1.12658689204128	64.1975106876429	3.97943204675768e-10	1.26814550750051e-06
comp3387_c0_seq1	-1.60993675790604	0.751979000009022	57.6124668237824	1.61278685349237e-09	4.11163880429346e-06
comp9997_c0_seq1	2.05049768244072	-0.400824820575206	52.3854707562495	5.24292405965336e-09	1.11385921647336e-05
comp46_c0_seq1	2.35833986068512	4.5507165433498	51.3273790545027	6.70962823517438e-09	1.22182330162526e-05
comp6041_c0_seq1	1.31948370687846	1.06252223541071	45.9087333979147	2.48503317498974e-08	3.95958973519927e-05
comp5990_c0_seq1	2.77291336226496	-0.985712995149156	44.541814816883	3.50267007368942e-08	4.96094838103545e-05
comp7723_c0_seq1	2.6052529194944	-1.03041809931143	42.8661010261622	5.37581542813294e-08	6.85255192624106e-05
comp68330_c0_seq1	2.62914123407911	-1.93101835492531	42.0286340788433	6.68083767792023e-08	7.23925130413813e-05
comp627_c0_seq1	1.42926506271426	2.36530358400131	41.9524311939082	6.8150165254301e-08	7.23925130413813e-05
comp2641_c0_seq1	2.48338148041118	-1.5629651693356	41.1927109548779	8.3177364479991e-08	8.15586050020343e-05
comp787_c0_seq1	2.3470687698293	-1.34628042078916	38.2646131291495	1.82501001417733e-07	0.000166167161790846
comp12301_c0_seq1	1.86795837237368	-0.0289221298887581	37.9453749291512	1.99177075362833e-07	0.000169260678643336
comp65986_c0_seq1	-3.52275474554769	-3.29738103433304	37.1761415864029	2.46254361639942e-07	0.00018548298797843
comp77_c0_seq1	-2.99195352194146	-2.20828084669632	38.0424382416913	2.65801228871123e-07	0.00018548298797843
comp5778_c0_seq1	5.80144429807053	-2.58357976192402	38.0953284847125	2.75187877597572e-07	0.00018548298797843
comp25718_c0_seq1	-3.89824149816104	-3.16171800175783	36.7363002040933	2.78282068228477e-07	0.00018548298797843
comp11021_c0_seq1	7.22161762289949	-1.79327240348547	40.3415679954434	2.91022182440464e-07	0.00018548298797843
comp8572_c0_seq1	-1.50142282430767	1.08720750424477	35.9442519239813	3.47440894936608e-07	0.000210896623226521
comp2884_c0_seq1	1.66602791932892	0.1439331749481	35.4277457329174	4.02055652044308e-07	0.000232954699845854
comp4104_c0_seq1	1.76263503131501	-0.733182205889774	34.9850060783425	4.56019618623095e-07	0.000248420162011931
comp9052_c0_seq1	2.35124783631519	-1.53689176529663	34.8962306584517	4.67724475428441e-07	0.000248420162011931
comp2112_c0_seq1	1.79948025239173	-0.777534120760764	34.2357590903076	5.65314814721458e-07	0.000288242717730177
comp24764_c0_seq1	-3.69030760922592	-3.47779661790461	33.9424157951306	6.15289566863245e-07	0.000301657542646376
comp8609_c0_seq1	2.0562180814377	0.115788521176889	33.0420436123839	7.9969013314578e-07	0.000377542597304046
comp22073_c0_seq1	1.71068823053675	-0.362929880070362	32.5514604949042	9.23733137850516e-07	0.000420529511006448
comp14452_c0_seq1	3.4479511504374	-1.98575508244494	32.2433575236176	1.01180198802138e-06	0.000444739308320986
comp1408_c0_seq1	1.99820249856687	0.707062674963696	30.7528769410781	1.67041268395046e-06	0.000709758349410551
comp5944_c0_seq1	1.950145509307	-1.14053349232443	30.1586232968726	1.89346429825148e-06	0.000769415020839685
comp35004_c0_seq1	-1.94166330777303	-0.754564727804506	31.2072293657273	1.93153531551502e-06	0.000769415020839685
comp61984_c0_seq1	-1.97310080504883	-2.16307999184274	29.8716543276714	2.06709282861646e-06	0.000798461584435578
comp7124_c0_seq1	-2.17098930030916	-1.59691233144399	30.0651971296505	2.21981977144869e-06	0.000832236547842835
comp3490_c0_seq1	-2.26971824036157	-2.18000502246306	29.1288835463324	2.59851014370232e-06	0.000946377394336384
comp12170_c0_seq1	-2.60069198998806	-2.6588650468905	28.9981866919722	2.70595445153654e-06	0.00095813337204823
comp15903_c0_seq1	-1.25932831805265	0.0490970381028275	28.8582961984998	2.82612822764145e-06	0.000973639365344475
comp6795_c0_seq1	1.47928886125035	-0.572384685876906	28.3431122886216	3.31916127997478e-06	0.00111048344612155
comp4990_c0_seq1	1.33332446376306	1.32200324046699	28.2686335302604	3.39757232280069e-06	0.00111048344612155
comp14061_c0_seq1	1.57925835144326	-1.3855593275763	27.9731213294997	3.72832941349244e-06	0.00118405290402644
comp43008_c0_seq1	-5.19136947852891	0.310651533093597	31.6904720568301	3.80843877501249e-06	0.00118405290402644
comp12379_c0_seq1	-1.35830614904862	0.373632691776311	27.6931053077345	4.07295298290004e-06	0.0011878953453625
comp12067_c0_seq1	-1.63442106802759	-1.20234516840279	27.6824357129238	4.08672660955672e-06	0.0011878953453625
comp40125_c0_seq1	-4.52902228650103	-2.83399172411024	29.9933902756719	4.10036833733035e-06	0.0011878953453625
comp23616_c0_seq1	1.64752492775029	-0.913003782284643	27.4036610605454	4.46444900673022e-06	0.00126462958863978
comp48838_c0_seq1	-1.4018315475408	0.778163804729742	27.1132390020249	4.89707689720766e-06	0.00135702259149361
comp847_c0_seq1	5.65214193949565	-0.426139544208202	29.8844241334768	5.53617157223013e-06	0.00150148040491952
comp1913_c0_seq1	-1.42624546128164	0.751441388008451	26.5921079101196	5.78712999850565e-06	0.00153684471022816
