logFC	logCPM	F	PValue	FDR
comp11869_c0_seq1	1.5183198978324	-0.247569424957766	49.1501941110086	1.12472365654922e-08	0.000143368524500329
comp3889_c0_seq1	-2.90264989326517	-0.0711061403405881	50.3548834298234	4.92807685740084e-08	0.000314090978506443
comp15785_c0_seq1	3.08212798308828	-2.19369185659583	37.4636587766729	2.58209575078828e-07	0.00109713248450994
comp23616_c0_seq1	1.38420971552759	-0.913003782284643	35.745647453974	3.67459863105525e-07	0.00111284806922262
comp12560_c0_seq1	-1.32294303974359	1.05063156250957	34.4192023029483	5.36238862859414e-07	0.00111284806922262
comp17578_c0_seq1	-3.38040086973813	0.82735904979916	39.5095407889822	5.89471039826183e-07	0.00111284806922262
comp4990_c0_seq1	1.08438269942137	1.32200324046699	33.9659237949571	6.11119203307315e-07	0.00111284806922262
comp14991_c0_seq1	1.47751721631519	1.96896868878506	33.2057576825429	7.88729154376341e-07	0.0012567413163544
comp8945_c0_seq1	-2.27777914575079	2.95022115775566	36.4384559671856	9.14432191792755e-07	0.00129514079430914
comp527_c0_seq1	1.81326965988068	3.26631972502001	32.8994339773836	1.26921584225804e-06	0.00148301291778328
comp2758_c0_seq1	1.19992932511547	-1.088226957196	31.1436786298515	1.40492876223604e-06	0.00148301291778328
comp431_c0_seq1	1.84420840251221	2.7089069278962	32.5476206773786	1.49063335106088e-06	0.00148301291778328
comp607_c0_seq1	1.41893672339386	1.42904026692198	31.0585786262637	1.51244747243921e-06	0.00148301291778328
comp16957_c0_seq1	1.57204979550955	3.61170495370053	30.925529450479	1.73379037154544e-06	0.0015085521808323
comp83494_c0_seq1	-4.10396791090439	0.177782127196346	34.5140279448642	1.90222954116311e-06	0.0015085521808323
comp4957_c0_seq1	-1.47284074033466	-0.32193358740506	30.6366138527429	1.95568821888407e-06	0.0015085521808323
comp4940_c0_seq1	1.39514505839049	3.76485094809634	29.9600870963171	2.01187629043297e-06	0.0015085521808323
comp17122_c0_seq1	-2.28285827369677	-2.21139802616808	30.263326820358	2.18959704593239e-06	0.00155059964136112
comp17081_c0_seq1	2.73086965950374	-1.68592571490017	30.3379862885239	2.88971267247077e-06	0.00193869302294657
comp1297_c0_seq1	2.59152300381976	-0.985889837442765	31.066274616669	3.13457564042837e-06	0.00199782178442702
comp78387_c0_seq1	-1.92016858705645	-2.09745169281572	28.1801989074817	3.54857414264067e-06	0.00215398450458289
comp4689_c0_seq1	2.16978712000212	-1.07686271826899	29.1144633185339	4.13027928720013e-06	0.00239312136699727
comp18847_c0_seq1	1.13189000473093	-1.09115951038055	27.0327920021013	5.0245267482017e-06	0.00273784701013649
comp687_c0_seq1	1.01591615043215	0.148478282078393	26.9527383514361	5.15480726784936e-06	0.00273784701013649
comp4102_c0_seq1	2.6997185107104	-1.36421375863535	28.4837134227644	6.05700018285604e-06	0.00304184229225094
comp76211_c0_seq1	-2.07936708299081	-1.68061041505198	27.7389456568904	6.29516180424966e-06	0.00304184229225094
comp15085_c0_seq1	-3.39734836023766	-0.304055826648424	29.6070321290218	6.44306439874287e-06	0.00304184229225094
comp17466_c0_seq1	1.90910443445831	-1.73642786977743	26.0448536291253	7.06734911817734e-06	0.00314873403173499
comp12892_c0_seq1	-3.17140751235065	-3.52380193915922	25.9323079987934	7.16351195734798e-06	0.00314873403173499
comp12901_c0_seq1	1.09688037920858	-0.0943928029190649	25.717916211638	7.68139404817124e-06	0.00326382433106796
comp10085_c0_seq1	1.13961627722928	-0.922402613876691	25.5577145006479	8.09390669076133e-06	0.00327618740319065
comp16116_c0_seq1	-1.35611066745901	-1.33040206363202	25.5087674505835	8.22452317424499e-06	0.00327618740319065
comp4358_c0_seq1	1.61620189098969	3.45738045673181	26.338370508136	8.56529822966286e-06	0.00330854110707613
comp7363_c0_seq1	-1.13446367316346	-1.09152786560649	24.9259686945853	9.96105553274342e-06	0.00371180545019825
comp24764_c0_seq1	-2.88693387287142	-3.47779661790461	24.80538892775	1.03660683308052e-05	0.00371180545019825
comp17446_c0_seq1	1.34272920276301	-0.638346007554432	24.6756086263743	1.08213284657436e-05	0.00371180545019825
comp9916_c0_seq1	2.89440352027609	-0.0483969118884773	27.3153639740379	1.13734821704541e-05	0.00371180545019825
comp32661_c0_seq1	-2.94974776573327	1.03080295249267	27.4100105331578	1.15595830652446e-05	0.00371180545019825
comp9461_c0_seq1	1.281323478293	-0.242837018919015	24.4764972111638	1.15609704602057e-05	0.00371180545019825
comp3482_c0_seq1	-1.19668866858753	-1.2406253015543	24.4132926742817	1.18066882951553e-05	0.00371180545019825
comp2452_c0_seq1	-2.70585337431707	-3.30445745989349	24.3798750724891	1.19388109718466e-05	0.00371180545019825
comp8544_c0_seq1	1.84006054346926	-1.08297187461295	24.1106758777121	1.6798091626654e-05	0.00495574922906415
comp2884_c0_seq1	0.966118989592947	0.1439331749481	23.3183304561025	1.70549418649732e-05	0.00495574922906415
comp30519_c0_seq1	2.2609476459993	-0.178686929862841	25.4074602322075	1.7301507261584e-05	0.00495574922906415
comp2740_c0_seq1	-1.22226422538227	2.57646953249807	23.5187591414208	1.74949961016621e-05	0.00495574922906415
comp24533_c0_seq1	1.15609571602413	-0.0365127723435229	23.0800452247187	1.84921690590598e-05	0.00512434084773555
comp5139_c0_seq1	-0.963774586128065	2.2708648208135	22.8423290750568	2.00529908182669e-05	0.00543862710554144
comp10448_c0_seq1	1.18084385590668	-0.233569623484825	22.560798024001	2.2081890152202e-05	0.0057887155728339
comp1741_c0_seq1	1.05732637541372	-0.751031444936742	22.5384296304003	2.2252064255814e-05	0.0057887155728339
comp1698_c0_seq1	1.01000201128801	1.00895369236929	22.4632883516251	2.28338626992076e-05	0.00582126495653598
comp14309_c0_seq1	2.14185622935693	0.00118149153153776	24.136618814817	2.49568775878672e-05	0.00623775134534399
comp1440_c0_seq1	0.903913593007497	0.473813670249468	22.1130487409688	2.57639190154623e-05	0.00626088802626713
comp2275_c0_seq1	1.38594413120444	0.0769618656395755	22.6207974190617	2.60317773116935e-05	0.00626088802626713
comp4043_c0_seq1	3.29868578185962	2.28747591180817	24.4142720476478	2.66377604539956e-05	0.00628799134272373
comp8586_c0_seq1	-1.17074034365304	-1.12635971248475	21.8542049626118	2.81812823035452e-05	0.00648060368754194
comp13352_c0_seq1	1.68615698089506	-1.17202326004574	22.3414001391018	2.84705269084764e-05	0.00648060368754194
comp8286_c0_seq1	1.02255988870935	-0.109631453957419	21.6604630914576	3.01456873724808e-05	0.00674152766556163
comp23731_c0_seq1	1.15875648891048	0.102172747658586	21.321836295416	3.39317476596696e-05	0.00745737909341049
comp798_c0_seq1	0.921531289978593	4.77682054615456	21.268641438306	3.45704230630349e-05	0.0074689691997374
comp2081_c0_seq1	1.2177077155293	3.6674514512458	21.2272277853578	3.57365854774037e-05	0.00756825267542151
comp6880_c0_seq1	0.800902915524251	2.89040364078813	21.0847513505565	3.68771505458218e-05	0.00756825267542151
comp78_c0_seq1	2.05012464484792	0.594923406523046	22.8881513347286	3.70820494044554e-05	0.00756825267542151
comp14252_c0_seq1	-2.30069627869847	-3.5019851172589	20.9857539762966	3.81853063568883e-05	0.00756825267542151
comp46056_c0_seq1	0.900433026774095	0.81900678398191	20.9073224159168	3.92562288930051e-05	0.00756825267542151
comp7797_c1_seq1	1.10223981675272	-0.820139702114686	20.8730005397954	3.97347340744435e-05	0.00756825267542151
comp5569_c0_seq1	-3.46789128755209	-3.72736725072218	21.6483881740256	3.97510942208706e-05	0.00756825267542151
