GO ID	P-Value
GO:0005488	2.922741115233851E-38
GO:0005622	1.3433255649134628E-35
GO:0005623	2.2346241556209534E-35
GO:0044464	2.7615484222269806E-34
GO:0008152	1.1594077505777919E-32
GO:0009987	9.844018181638008E-31
GO:0044424	1.4634903227834428E-30
GO:0003824	5.036716428726753E-25
GO:0043167	1.5810430497724808E-24
GO:0071704	1.607191149503887E-23
GO:0043229	3.898135317218998E-23
GO:0043226	5.1176927533526057E-23
GO:0005737	9.598304537357195E-23
GO:0043168	1.9961409369643708E-22
GO:1901265	5.708423652478789E-22
GO:0097159	5.451884672160909E-22
GO:0097367	5.117837344161293E-22
GO:1901363	5.381995405907581E-22
GO:0000166	5.708423652478789E-22
GO:0016020	9.157271828248668E-22
GO:0001882	1.0279781587985102E-21
GO:0044699	1.0550099358566417E-21
GO:0035639	9.265822286110273E-22
GO:0036094	9.67170216656203E-22
GO:0032549	1.015046854551159E-21
GO:0032553	1.6577836909128268E-21
GO:0001883	4.012635111977284E-21
GO:0032550	4.012635111977284E-21
GO:0032555	4.271058426586265E-21
GO:0017076	4.718548291435989E-21
GO:0043227	1.159131736816903E-20
GO:0043231	1.0893987337228465E-19
GO:0044237	1.3583090596925672E-19
GO:0005524	8.954225984823315E-19
GO:0044238	1.579604814200561E-18
GO:0032559	3.623317663005098E-18
GO:0030554	3.754837192428309E-18
GO:0044444	1.0685158611066466E-17
GO:0044710	3.1880261854623525E-16
GO:0044763	1.229396323451847E-15
GO:0044267	1.4283170664589314E-15
GO:0019538	3.300174226753455E-15
GO:0043170	4.049922896097942E-15
GO:0065007	5.903081026901781E-15
GO:0050789	7.309504645844789E-15
GO:0044260	9.358809374260278E-15
GO:0050794	8.410709508382789E-14
GO:1901564	1.9473883521170305E-13
GO:0046907	2.960783286005525E-13
GO:0009058	3.829902571696199E-13
GO:0050896	5.611049647281527E-13
GO:0005515	1.1968445871053563E-12
GO:0051649	2.3561309246977876E-12
GO:0006886	3.6085459550201633E-12
GO:1901576	6.526610592349343E-12
GO:0044425	7.554601649303552E-12
GO:0006464	8.063135228229252E-12
GO:0036211	8.063135228229252E-12
GO:0051641	8.421897078484505E-12
GO:0034613	9.323528153012817E-12
GO:0070727	1.135728287038811E-11
GO:0016021	1.608216776175095E-11
GO:0015031	1.9375559918097075E-11
GO:0031224	2.0968113254888147E-11
GO:0045184	2.2526622252090866E-11
GO:0071702	4.869210212900662E-11
GO:0008104	5.17969865171035E-11
GO:0016740	5.2340705079622994E-11
GO:0051179	7.208651681661795E-11
GO:0006810	7.37801437478885E-11
GO:0051234	1.2031362858605206E-10
GO:0033036	1.2739087913312977E-10
GO:0032991	1.959749841482943E-10
GO:0006807	2.2666158000950563E-10
GO:0043412	3.5463995189511174E-10
GO:0044249	3.621502246353959E-10
GO:0009056	6.051620873818946E-10
GO:0009059	6.784876315612697E-10
GO:0016043	8.087563865979828E-10
GO:0071840	8.044068027277128E-10
GO:0034645	1.3012403591931245E-9
GO:0044446	1.6182380993340146E-9
GO:0044422	1.7997926179710423E-9
GO:0043234	1.877384458209494E-9
GO:0016491	2.0346261413516865E-9
GO:0044248	2.5919196903136838E-9
