logFC	logCPM	F	PValue	FDR
comp3889_c0_seq1	-2.89428253372969	0.0392351561619999	56.9154033539865	8.59067941402952e-08	0.000163566536043122
comp17578_c0_seq1	-3.42142898831257	0.964233445045993	56.9161775905756	1.15910346757495e-07	0.000189165685908231
comp83494_c0_seq1	-4.13681572344513	0.20035262652416	43.8879580994542	1.05846921214071e-06	0.000891030437441308
comp15085_c0_seq1	-3.41638488880715	-0.210961476808748	42.564104788724	1.24769231141949e-06	0.000891030437441308
comp12560_c0_seq1	-1.31416718780675	1.19056485419474	35.0031831920487	1.2744938611265e-06	0.000891030437441308
comp8945_c0_seq1	-2.23030349759225	3.0802843536033	39.2901571090868	1.56005519120484e-06	0.000990115028018003
comp78387_c0_seq1	-1.86969160511239	-2.02780938948474	31.2032645116019	3.18941887657518e-06	0.00153456027583347
comp8586_c0_seq1	-1.1775583034603	-1.16192075781176	30.3862982868521	3.72286797562459e-06	0.00153456027583347
comp32661_c0_seq1	-2.98038422723535	1.27167713460712	36.6358678015206	3.81075866159069e-06	0.00153456027583347
comp17122_c0_seq1	-2.24964499018814	-2.19104484167579	30.8921636188702	4.53700625101323e-06	0.00167195998101855
comp7363_c0_seq1	-1.14007743578491	-1.0057035415151	29.4330458386016	4.83313901513588e-06	0.001679759433618
comp16116_c0_seq1	-1.36206763671225	-1.23859824028873	28.9055930007101	5.59407292021842e-06	0.00182590540115929
comp31066_c0_seq1	-1.42820420231662	-1.09302043087847	27.7397756368289	8.6659957772243e-06	0.00235715085140501
comp76211_c0_seq1	-2.05543327368188	-1.4004988653065	28.8249481691087	1.11569252469655e-05	0.00289674350048487
comp17259_c0_seq1	-1.64436256857655	-1.03709321471703	27.1497774104974	1.39352975478667e-05	0.00326009624646856
comp17217_c0_seq1	-0.813508911665244	1.8383397806391	25.3750604975242	1.54151607144795e-05	0.00342499276107529
comp5139_c0_seq1	-0.9545681462529	2.44076589215756	25.2079376961173	1.61985713123775e-05	0.00349155620136981
comp10010_c0_seq1	-1.43335481682737	2.47654760667893	26.6231484945308	1.7333358342055e-05	0.0035342011557763
