GO ID	P-Value
GO:0005623	2.785651278803564E-67
GO:0044464	5.034302325463157E-66
GO:0005622	8.010086664922082E-65
GO:0044424	1.8840373529598948E-63
GO:0005737	4.261943948605986E-61
GO:0044444	7.635925679568535E-61
GO:0009507	3.5531044872045527E-56
GO:0009536	7.973648182052578E-55
GO:0043229	7.203610635767386E-53
GO:0043226	1.173172132088701E-52
GO:0043227	2.3993290691839674E-52
GO:0008152	1.4149891483980757E-51
GO:0009579	3.573368769965457E-51
GO:0015979	5.801894759542147E-51
GO:0009987	1.6943171395789602E-50
GO:0044763	3.517957144390093E-50
GO:0044699	1.0958831068159103E-49
GO:0044710	1.1922903278144098E-44
GO:0044434	2.1052977192611513E-44
GO:0044435	5.803408496421039E-44
GO:0043231	1.0687087057778406E-42
GO:0044436	1.1806643039951115E-42
GO:0044237	1.7128115498650783E-41
GO:0009534	3.038220961087626E-41
GO:0031976	3.424073102404115E-41
GO:0034357	1.955779807108468E-39
GO:0071704	6.277744492867034E-37
GO:0042651	3.51254916607379E-35
GO:0031984	7.400484627756712E-35
GO:0019684	7.1412832101255934E-34
GO:1901564	2.4335966408562198E-33
GO:0044446	1.074129339431019E-32
GO:0044422	1.3955318564918887E-32
GO:0044238	2.615438107578054E-32
GO:0009535	1.7978203052209407E-31
GO:0055035	2.0321335456624233E-31
GO:0071840	3.0228998442132773E-31
GO:0044281	3.226040791441013E-31
GO:0044711	2.9011517528275444E-29
GO:1901576	1.8931673186870787E-28
GO:0032991	4.471150040669861E-28
GO:0009058	1.026150601230313E-27
GO:0005488	1.1826846119578991E-27
GO:1901566	1.638641079305181E-27
GO:0044249	8.536540630354729E-26
GO:0009521	3.255836837619394E-25
GO:0016043	5.32611973449482E-25
GO:0006091	5.579425115546073E-25
GO:0009532	1.3341818324038936E-24
GO:0006790	3.341600386275093E-24
GO:0016020	5.080290352602086E-24
GO:0009522	5.124258573360538E-24
GO:0009570	1.157961073273144E-23
GO:0005975	1.412474889687626E-22
GO:0043436	2.0911088084535917E-22
GO:0006082	2.1911814077179326E-22
GO:0019752	3.5949190851003243E-22
GO:0003824	3.825291350593095E-22
GO:0044085	9.260531984576893E-22
GO:0065007	5.4752195494850364E-21
GO:0051186	6.396144834902E-21
GO:0009941	2.36382946439376E-20
GO:0042254	6.59660577030772E-20
GO:0009526	7.206411079977065E-20
GO:0009657	1.0619489516556287E-19
GO:0006807	1.74597680202005E-19
GO:0022613	4.9222704216060115E-19
GO:0098796	6.153791479797688E-19
GO:0019344	9.969172826150864E-19
GO:0006534	2.4419408426385325E-18
GO:0050896	2.7203055794859365E-18
GO:0044272	6.1306560787554184E-18
GO:0065008	9.178751705379788E-18
GO:0044283	1.5965168964744185E-17
GO:0006793	2.0219741985894826E-17
GO:0044723	2.009259092899669E-17
GO:0009070	2.3845200629017117E-17
GO:0043170	4.354306624219429E-17
GO:0019725	8.107323762365789E-17
GO:0046148	1.3166654538389027E-16
GO:0006081	1.879835033209834E-16
GO:0042440	1.9658606662664248E-16
GO:0006520	5.470199759993706E-16
GO:0005515	5.499575250346692E-16
GO:0006996	6.144808495019498E-16
GO:0009628	8.367418691962031E-16
GO:0031967	8.923540620313686E-16
GO:0006720	1.0260175847575212E-15
GO:0044425	1.35621351316954E-15
GO:0006796	1.3782891645407817E-15
GO:0050789	1.6948293837423844E-15
GO:0016053	1.7803626410357222E-15
GO:0046394	1.7803626410357222E-15
GO:0019682	1.7447441361297155E-15
GO:1901605	2.46175010216062E-15
GO:0005976	2.924865049147937E-15
GO:0000097	3.817852629456013E-15
GO:0032787	4.678540103675673E-15
GO:0008299	6.020456267066593E-15
GO:0009523	7.332504975866769E-15
GO:0031975	9.291647871263096E-15
GO:0009765	1.039023455345332E-14
GO:1901135	1.416279486362914E-14
GO:0010027	1.5857226810157132E-14
GO:0009668	1.5857226810157132E-14
GO:0044260	1.9501327838695183E-14
GO:0000096	2.83411897893258E-14
GO:0010287	3.887470707582593E-14
GO:0008610	4.498629808655055E-14
GO:0016168	5.304862675393062E-14
GO:0070838	6.287200166251009E-14
GO:0006629	6.422022509004224E-14
GO:0072511	1.03932966212818E-13
GO:0009069	1.0787210301350883E-13
GO:0044267	2.0169352236131688E-13
GO:0043234	3.1498754107394304E-13
GO:0009653	3.193842869825808E-13
GO:0044255	3.240848400798847E-13
GO:0048046	3.6100617149445416E-13
GO:0019637	3.634727543381871E-13
GO:0006732	3.856714521929159E-13
GO:0019288	4.83368012951643E-13
GO:0044802	5.164184833884857E-13
GO:0009240	5.988741952620029E-13
GO:0046490	5.988741952620029E-13
GO:0044767	7.563426979146431E-13
GO:0048731	8.744817237643712E-13
GO:0006090	9.592410219484474E-13
GO:0006073	1.0555173216828995E-12
GO:0010207	1.0669800061047577E-12
GO:0006364	1.2892272097143582E-12
GO:0044042	1.3204195472322701E-12
GO:1901607	1.3629796937664553E-12
GO:0048367	1.4074499092149071E-12
GO:0046496	1.4149117067443414E-12
GO:0061024	1.4925521627439395E-12
GO:0008652	1.5351984566725902E-12
GO:0016072	1.566648727998207E-12
GO:0032502	1.7237219840496865E-12
GO:0019362	2.1458493756605827E-12
GO:0048856	3.336381056983031E-12
GO:0042221	3.592058908965741E-12
GO:0016117	3.6037426372516795E-12
GO:0016109	3.6037426372516795E-12
GO:0005576	4.275059653678151E-12
GO:0031224	6.07087471152199E-12
GO:0072524	6.52191453563256E-12
GO:0042592	6.630562515309574E-12
GO:0016108	6.95830620886675E-12
GO:0016116	6.95830620886675E-12
GO:0006950	7.379563382118466E-12
GO:0044271	8.00014290612766E-12
GO:0034660	8.153706690267493E-12
GO:0032501	8.916527161016576E-12
GO:0044707	1.0985212788236259E-11
GO:0006733	1.2219820840466888E-11
GO:0016021	1.315853986773579E-11
GO:0044262	1.4118931152468792E-11
GO:0044264	1.671287275584638E-11
GO:0005840	1.7632794769671225E-11
GO:0009768	1.7960861043869535E-11
GO:0034641	1.8540985091272603E-11
GO:0055114	1.9887855939738544E-11
GO:0007275	1.9803836092302635E-11
GO:0005618	2.0931004235517197E-11
GO:0004553	2.9063728535996837E-11
GO:0015994	3.054267419882806E-11
GO:1990904	3.0937544230093105E-11
GO:0030529	3.0937544230093105E-11
GO:0003735	3.112300750109098E-11
GO:0030001	3.7410082768093504E-11
GO:0046906	4.1227315132257543E-11
GO:0019538	4.917864420637648E-11
GO:0050794	5.428626687976482E-11
GO:0006739	5.7637950380153876E-11
GO:0005198	6.97763211202692E-11
GO:0030312	8.829239882755814E-11
GO:0009416	1.2130092014027414E-10
GO:0010016	1.5897821248125862E-10
GO:0006778	1.9450368984150855E-10
GO:0008654	2.1351509837720584E-10
GO:0030003	2.827482476713559E-10
GO:0009117	3.0455466274360235E-10
GO:0006753	3.3293170089269247E-10
GO:0016798	3.4085314964378696E-10
GO:0010467	4.0036204115508017E-10
GO:0005982	4.046474726898412E-10
GO:0033013	4.200429285102884E-10
GO:0051188	4.283217677831903E-10
GO:0006873	4.5837169806521443E-10
GO:0006098	5.163398722839434E-10
