comp1_c0_seq1	GO:0009507, GO:0016020
comp3_c0_seq1	
comp4_c0_seq1	GO:0003677, GO:0046982, GO:0000788, GO:0006334
comp6_c0_seq1	GO:0005524
comp8_c0_seq1	GO:0005634, GO:0005515, GO:0006464, GO:0005773, GO:0016874, GO:0006511
comp12_c0_seq1	GO:0003677, GO:0000790, GO:0046982, GO:0006342, GO:0000786
comp14_c0_seq1	GO:0003677, GO:0046982, GO:0000788, GO:0006334
comp15_c0_seq1	GO:0005634, GO:0003677, GO:0006605, GO:0046982, GO:0016021, GO:0000786, GO:0006007
comp16_c0_seq1	GO:0005525, GO:0016779, GO:0006448, GO:0003746, GO:0003924, GO:0005840
comp19_c0_seq1	GO:0009536
comp20_c0_seq1	GO:0009507, GO:0003824, GO:0016020
comp21_c0_seq1	
comp23_c0_seq1	
comp24_c0_seq1	GO:0006094, GO:0050661, GO:0005737, GO:0051287, GO:0006096, GO:0055114, GO:0004365
comp27_c0_seq1	GO:0005524, GO:0051082, GO:0006457, GO:0006950
comp28_c0_seq1	GO:0009705, GO:0006833, GO:0015254, GO:0015793, GO:0034220, GO:0042807, GO:0016021, GO:0015250
comp30_c0_seq1	GO:0008283, GO:0003677, GO:0046982, GO:0000786, GO:0005730, GO:0009536
comp34_c0_seq1	GO:0005524, GO:0005516, GO:0009738, GO:0005737, GO:0005509, GO:0046777, GO:0004683, GO:0009069, GO:0018105, GO:0005886, GO:0035556, GO:0009931
comp36_c0_seq1	GO:0006803, GO:0005737, GO:0006749, GO:0004364
comp37_c0_seq1	GO:0046872
comp40_c0_seq1	GO:0006950
comp42_c0_seq1	GO:0003852, GO:0009097, GO:0009099, GO:0009098, GO:0006090, GO:0009536
comp46_c0_seq1	GO:0050896
comp51_c0_seq1	GO:0006094, GO:0009651, GO:0007165, GO:0006096, GO:0005794, GO:0042277, GO:0046686, GO:0000413, GO:0005774, GO:0006457, GO:0005886, GO:0009507, GO:0003755, GO:0009506, GO:0048046, GO:0005829
comp53_c0_seq1	GO:0016798
comp55_c0_seq1	GO:0005515, GO:0005737
comp57_c0_seq1	GO:0005634, GO:0003677, GO:0000786, GO:0006334
comp59_c0_seq1	
comp63_c0_seq1	GO:0016210, GO:0009813
comp64_c0_seq1	GO:0009607, GO:0006952
comp69_c0_seq1	GO:0005737
