comp27_c0_seq1 K04079
comp150_c0_seq1 AT2G21140
comp159_c0_seq1 K00434
comp184_c0_seq1 K07937
comp187_c0_seq1 K03113
comp188_c1_seq1 AT3G21360
comp250_c0_seq1 POPTR_0009s12070g
comp322_c0_seq1 K13126
comp361_c0_seq1 AT1G64390
comp393_c0_seq1 K08232
comp427_c0_seq1 K02976
comp431_c0_seq1 K20834
comp458_c0_seq1 K03254
comp469_c0_seq1 K08913
comp473_c0_seq1 K02885
comp513_c0_seq1 AT4G12730
comp517_c0_seq1 K00975
comp527_c0_seq1 K00218
comp607_c0_seq1 AT4G30020
comp632_c0_seq1 K02937
comp687_c0_seq1 K13648
comp742_c0_seq1 AT5G64030
comp747_c0_seq1 K08916
comp754_c0_seq1 K07936
comp759_c0_seq1 K03671
comp780_c0_seq1 K10999
comp798_c0_seq1 K08901
comp820_c0_seq1 AT2G36320
comp821_c0_seq1 K03037
comp825_c0_seq1 AT3G16370
comp853_c0_seq1 AT4G34590
comp871_c0_seq1 K15397
comp887_c0_seq1 K13993
comp893_c0_seq1 AT2G25520
comp903_c0_seq1 K14085
comp927_c0_seq1 K02888
comp954_c0_seq1 K17098
comp970_c0_seq1 K07374
comp973_c0_seq1 K08235
comp1009_c0_seq1 AT3G43520
comp1059_c0_seq1 K01893
comp1075_c0_seq1 444727
comp1080_c0_seq1 4331730
comp1082_c0_seq1 K00627
comp1087_c0_seq1 AT3G12610
comp1146_c0_seq1 K03007
comp1197_c0_seq1 AT1G17140
comp1251_c0_seq1 AT4G14270
comp1272_c0_seq1 K08235
comp1285_c0_seq1 K02694
comp1297_c0_seq1 AT3G06130
comp1299_c0_seq1 K14684
comp1307_c0_seq1 K15925
comp1350_c0_seq1 AT5G45280
comp1369_c0_seq1 K20544
comp1408_c0_seq1 AT3G50830
comp1440_c0_seq1 K10999
comp1485_c0_seq1 AT5G25610
comp1538_c0_seq1 AT2G34660
comp1603_c0_seq1 K05658
comp1635_c0_seq1 4345440
comp1641_c0_seq1 K00234
comp1664_c0_seq1 K01466
comp1678_c0_seq1 K00605
comp1696_c0_seq1 K13448
comp1698_c0_seq1 AT4G09670
comp1787_c0_seq1 4345440
comp1797_c0_seq1 K13436
comp1798_c0_seq1 K17098
comp1822_c0_seq1 K10590
comp1837_c0_seq1 K14484
comp1896_c0_seq1 AT4G07960
comp1908_c0_seq1 K02692
comp2025_c0_seq1 K17080
comp2068_c0_seq1 K01845
comp2080_c0_seq1 AT2G34680
comp2127_c0_seq1 K03248
comp2261_c0_seq1 K08915
comp2275_c0_seq1 AT3G14240
comp2304_c0_seq1 AT3G48360
comp2333_c0_seq1 K10798
comp2357_c0_seq1 AT3G62700
comp2428_c0_seq1 100126360
comp2436_c0_seq1 K01772
comp2472_c0_seq1 K20456
comp2474_c0_seq1 K01649
comp2503_c0_seq1 K04506
comp2512_c0_seq1 4344036
comp2520_c0_seq1 K20454
comp2539_c0_seq1 K00627
comp2543_c0_seq1 K17893
comp2553_c0_seq1 K03627
comp2624_c0_seq1 AT1G21380
comp2665_c0_seq1 AT1G20110
comp2692_c0_seq1 K01373
comp2703_c0_seq1 K01953
comp2740_c0_seq1 AT3G62700
comp2758_c0_seq1 K18674
comp2813_c0_seq1 K18667
comp2839_c0_seq1 AT1G53300
comp2840_c0_seq1 K05396
comp2874_c0_seq1 AT4G01050
comp2884_c0_seq1 K02727
comp2909_c0_seq1 K10843
comp2923_c0_seq1 AT1G32860
comp2929_c0_seq1 K16732
comp2966_c0_seq1 K03798
comp2992_c0_seq1 K00967
comp3028_c0_seq1 AT1G76950
comp3040_c0_seq1 K18587
comp3078_c0_seq1 AT2G46600
comp3087_c0_seq1 4346865
comp3118_c0_seq1 K14506
comp3229_c0_seq1 K15504
comp3231_c0_seq1 AT3G22380
comp3279_c0_seq1 K13680
comp3291_c0_seq1 AT4G01150
comp3306_c0_seq1 AT1G67325
comp3367_c0_seq1 K20536
comp3369_c0_seq1 K09422
comp3373_c0_seq1 K00799
comp3396_c0_seq1 K02701
comp3405_c0_seq1 K05857
comp3410_c0_seq1 K15397
comp3453_c0_seq1 K14521
comp3470_c0_seq1 AT1G72300
comp3482_c0_seq1 K00600
comp3484_c0_seq1 AT3G52380
comp3490_c0_seq1 K12946
comp3544_c0_seq1 4344713
comp3673_c0_seq1 AT5G46860
comp3694_c0_seq1 AT2G40610
comp3726_c0_seq1 K03010
comp3747_c0_seq1 4349238
comp3782_c0_seq1 K09753
comp3802_c0_seq1 K00654
comp3803_c0_seq1 102603648
comp3806_c0_seq1 K00232
comp3887_c0_seq1 K05894
comp3889_c0_seq1 YLR154C-G
comp3958_c0_seq1 AT3G63210
comp3989_c0_seq1 K07562
comp3991_c0_seq1 K14332
comp4011_c0_seq1 K16276
comp4027_c0_seq1 AT2G34960
comp4043_c0_seq1 K13366
comp4102_c0_seq1 AT1G48100
comp4229_c0_seq1 AT2G26770
comp4285_c0_seq1 AT3G02930
comp4303_c0_seq1 AT2G46820
comp4351_c0_seq1 K00382
comp4358_c0_seq1 K08912
comp4371_c0_seq1 K01114
comp4486_c0_seq1 K14190
comp4536_c0_seq1 K07893
comp4538_c0_seq1 AT1G65010
comp4571_c0_seq1 K14843
comp4578_c0_seq1 K22133
comp4587_c0_seq1 6954
