comp27_c0_seq1 K04079
comp159_c0_seq1 K00434
comp184_c0_seq1 K07937
comp187_c0_seq1 K03113
comp322_c0_seq1 K13126
comp393_c0_seq1 K08232
comp427_c0_seq1 K02976
comp431_c0_seq1 K20834
comp458_c0_seq1 K03254
comp469_c0_seq1 K08913
comp473_c0_seq1 K02885
comp517_c0_seq1 K00975
comp527_c0_seq1 K00218
comp632_c0_seq1 K02937
comp687_c0_seq1 K13648
comp747_c0_seq1 K08916
comp754_c0_seq1 K07936
comp759_c0_seq1 K03671
comp780_c0_seq1 K10999
comp798_c0_seq1 K08901
comp821_c0_seq1 K03037
comp871_c0_seq1 K15397
comp887_c0_seq1 K13993
comp903_c0_seq1 K14085
comp927_c0_seq1 K02888
comp954_c0_seq1 K17098
comp970_c0_seq1 K07374
comp973_c0_seq1 K08235
comp1059_c0_seq1 K01893
comp1082_c0_seq1 K00627
comp1146_c0_seq1 K03007
comp1272_c0_seq1 K08235
comp1285_c0_seq1 K02694
comp1299_c0_seq1 K14684
comp1307_c0_seq1 K15925
comp1369_c0_seq1 K20544
comp1440_c0_seq1 K10999
comp1603_c0_seq1 K05658
comp1641_c0_seq1 K00234
comp1664_c0_seq1 K01466
comp1678_c0_seq1 K00605
comp1696_c0_seq1 K13448
comp1797_c0_seq1 K13436
comp1798_c0_seq1 K17098
comp1822_c0_seq1 K10590
comp1837_c0_seq1 K14484
comp1908_c0_seq1 K02692
comp2025_c0_seq1 K17080
comp2068_c0_seq1 K01845
comp2127_c0_seq1 K03248
comp2261_c0_seq1 K08915
comp2333_c0_seq1 K10798
comp2436_c0_seq1 K01772
comp2472_c0_seq1 K20456
comp2474_c0_seq1 K01649
comp2503_c0_seq1 K04506
comp2520_c0_seq1 K20454
comp2539_c0_seq1 K00627
comp2543_c0_seq1 K17893
comp2553_c0_seq1 K03627
comp2692_c0_seq1 K01373
comp2703_c0_seq1 K01953
comp2758_c0_seq1 K18674
comp2813_c0_seq1 K18667
comp2840_c0_seq1 K05396
comp2884_c0_seq1 K02727
comp2909_c0_seq1 K10843
comp2929_c0_seq1 K16732
comp2966_c0_seq1 K03798
comp2992_c0_seq1 K00967
comp3040_c0_seq1 K18587
comp3118_c0_seq1 K14506
comp3229_c0_seq1 K15504
comp3279_c0_seq1 K13680
comp3367_c0_seq1 K20536
comp3369_c0_seq1 K09422
comp3373_c0_seq1 K00799
comp3396_c0_seq1 K02701
comp3405_c0_seq1 K05857
comp3410_c0_seq1 K15397
comp3453_c0_seq1 K14521
comp3482_c0_seq1 K00600
comp3490_c0_seq1 K12946
comp3726_c0_seq1 K03010
comp3782_c0_seq1 K09753
comp3802_c0_seq1 K00654
comp3806_c0_seq1 K00232
comp3887_c0_seq1 K05894
comp3989_c0_seq1 K07562
comp3991_c0_seq1 K14332
comp4011_c0_seq1 K16276
comp4043_c0_seq1 K13366
comp4351_c0_seq1 K00382
comp4358_c0_seq1 K08912
comp4371_c0_seq1 K01114
comp4486_c0_seq1 K14190
comp4536_c0_seq1 K07893
comp4571_c0_seq1 K14843
comp4578_c0_seq1 K22133
comp4671_c0_seq1 K19035
comp4730_c0_seq1 K09588
comp4737_c0_seq1 K14753
comp4820_c0_seq1 K01885
comp4848_c0_seq1 K05289
comp4940_c0_seq1 K08914
comp4957_c0_seq1 K06207
comp4990_c0_seq1 K08905
comp5145_c0_seq1 K13448
comp5191_c0_seq1 K21989
comp5333_c0_seq1 K03100
comp5339_c0_seq1 K07936
comp5351_c0_seq1 K09875
comp5489_c0_seq1 K00128
comp5568_c0_seq1 K16297
comp6063_c0_seq1 K00574
comp6066_c0_seq1 K06119
comp6163_c0_seq1 K05391
comp6433_c0_seq1 K09338
comp6580_c0_seq1 K11548
comp6613_c0_seq1 K13473
comp6626_c0_seq1 K16297
comp6802_c0_seq1 K14509
comp7506_c0_seq1 K16297
comp7563_c0_seq1 K20889
comp7634_c0_seq1 K08819
comp7787_c0_seq1 K16271
comp7846_c0_seq1 K02717
comp7865_c0_seq1 K01190
comp7946_c0_seq1 K16055
comp7961_c0_seq1 K13600
comp8045_c0_seq1 K09284
comp8227_c0_seq1 K02914
comp8240_c0_seq1 K01426
comp8305_c0_seq1 K08286
comp8485_c0_seq1 K15400
comp8544_c0_seq1 K15920
comp8586_c0_seq1 K01904
comp8651_c0_seq1 K15778
comp8658_c0_seq1 K01209
comp8758_c0_seq1 K10706
comp8797_c0_seq1 K21842
comp8919_c0_seq1 K14508
comp9254_c0_seq1 K05907
comp9290_c0_seq1 K10666
comp9472_c0_seq1 K09519
comp9523_c0_seq1 K10577
comp9721_c0_seq1 K10526
comp9828_c0_seq1 K09419
comp9916_c0_seq1 K00088
comp10015_c0_seq1 K05714
comp10085_c0_seq1 K19042
comp10094_c0_seq1 K21844
comp10208_c0_seq1 K10576
comp10236_c0_seq1 K14432
comp10270_c0_seq1 K05658
comp10348_c0_seq1 K14686
comp11085_c0_seq1 K08902
comp11394_c0_seq1 K00924
comp11450_c0_seq1 K01728
comp11460_c0_seq1 K05387
comp11607_c0_seq1 K17496
comp11776_c0_seq1 K19476
comp11842_c0_seq1 K14515
comp11849_c0_seq1 K11314
comp11960_c0_seq1 K16055
comp12222_c0_seq1 K01599
comp12353_c0_seq1 K13534
comp12524_c0_seq1 K14802
